entity_id,age,country,account_plan,tenure_days,email_verified
user_00087,27,DE,pro,1393,True
user_00088,65,CA,basic,2801,True
user_00089,56,CA,free,1004,True
user_00090,56,BR,basic,2371,True
user_00091,34,US,basic,147,True
user_00092,74,JP,pro,3493,True
user_00093,31,BR,pro,3283,True
user_00094,30,FR,free,319,True
user_00095,46,CA,free,363,True
user_00096,64,DE,free,1149,True
user_00097,33,CA,free,3509,True
user_00098,62,BR,basic,1145,True
user_00099,18,US,free,3551,False
user_00100,71,US,basic,1840,True
user_00101,21,AU,basic,1726,True
user_00102,48,CA,free,1712,True
user_00103,70,FR,pro,1995,True
user_00104,44,FR,free,3189,True
user_00105,35,FR,enterprise,195,False
user_00106,67,US,pro,3593,True
user_00107,68,JP,free,242,True
user_00108,37,DE,enterprise,698,True
user_00109,30,JP,basic,1925,True
user_00110,72,AU,pro,2880,True
user_00111,27,CA,free,1498,True
user_00112,26,AU,free,2272,True
user_00113,40,BR,free,3536,True
user_00114,48,JP,free,491,True
user_00115,22,CA,pro,1257,False
user_00116,58,DE,free,405,False
user_00117,41,BR,basic,613,True
user_00118,65,US,free,1962,True
user_00119,63,BR,free,1853,True
user_00120,30,US,basic,2378,True
user_00121,20,JP,free,1390,True
user_00122,72,DE,basic,1548,False
user_00123,42,UK,free,998,False
user_00124,62,BR,basic,3412,True
user_00125,28,BR,basic,435,True
user_00126,74,DE,free,1475,False
user_00127,27,UK,free,1619,True
user_00128,29,AU,basic,2596,True
user_00129,34,FR,free,1265,False
user_00130,39,CA,free,3231,False
user_00131,60,DE,pro,2372,True
user_00132,33,BR,basic,1638,False
user_00133,19,BR,pro,2355,True
user_00134,40,US,pro,2502,True
user_00135,28,FR,free,390,True
user_00136,28,AU,free,574,True
user_00137,55,US,pro,1103,True
user_00138,49,US,free,2560,True
user_00139,23,CA,pro,58,False
user_00140,62,BR,free,788,False
user_00141,48,JP,free,1058,True
user_00142,27,JP,free,3589,True
user_00143,22,FR,pro,1580,False
user_00144,52,UK,enterprise,3231,False
user_00145,26,FR,basic,3218,True
user_00146,45,DE,pro,3332,True
user_00147,73,UK,basic,3262,True
user_00148,38,BR,free,2113,True
user_00149,56,BR,pro,3002,True
user_00150,57,US,pro,3093,True
user_00151,57,FR,basic,474,True
user_00152,40,CA,free,1214,True
user_00153,30,US,free,1133,True
user_00154,37,JP,pro,1226,True
user_00155,53,US,basic,2444,True
user_00156,71,BR,pro,1465,True
user_00157,67,CA,free,2954,True
user_00158,48,FR,free,739,True
user_00159,65,DE,free,2715,True
user_00160,33,FR,free,1971,True
user_00161,19,BR,free,1096,False
user_00162,63,FR,basic,2866,True
user_00163,42,AU,free,1757,True
user_00164,71,CA,basic,1866,True
user_00165,39,JP,free,1803,False
user_00166,36,FR,enterprise,2511,True
user_00167,73,AU,basic,2087,True
user_00168,57,AU,basic,2547,False
user_00169,63,JP,free,1308,True
user_00170,42,AU,basic,903,False
user_00171,70,CA,free,3263,True
user_00172,68,BR,pro,1114,True
user_00173,60,UK,basic,2505,True
user_00174,64,FR,free,3610,True
user_00175,23,FR,free,3121,True
user_00176,51,BR,free,2874,True
user_00177,69,CA,free,2441,True
user_00178,39,FR,pro,2576,True
user_00179,44,FR,free,614,True
user_00180,65,BR,free,2054,True
user_00181,55,CA,basic,3546,True
user_00182,57,BR,free,2259,True
user_00183,47,DE,free,3134,True
user_00184,33,US,free,261,True
user_00185,70,AU,basic,2450,True
user_00186,57,FR,free,2775,True
user_00187,45,AU,free,2413,True
user_00188,26,JP,pro,1995,True
user_00189,60,DE,pro,1468,True
user_00190,36,UK,free,841,True
user_00191,68,US,free,27,True
user_00192,40,CA,pro,1070,True
user_00193,54,AU,enterprise,2164,True
user_00194,61,US,free,3225,False
user_00195,34,DE,pro,1386,True
user_00196,55,DE,free,1946,True
user_00197,36,BR,free,1025,True
user_00198,73,BR,free,2584,True
user_00199,58,JP,basic,13,True
user_00200,26,AU,free,772,False
user_00201,40,CA,pro,2193,True
user_00202,62,CA,free,1426,True
user_00203,60,AU,free,1329,True
user_00204,35,FR,basic,1985,False
user_00205,27,AU,free,1223,True
user_00206,36,DE,free,379,True
user_00207,43,JP,basic,1104,True
user_00208,46,US,pro,972,True
user_00209,53,FR,pro,1905,True
user_00210,26,UK,pro,3263,True
user_00211,61,FR,basic,892,True
user_00212,72,UK,basic,385,True
user_00213,60,UK,free,1225,True
user_00214,18,BR,free,238,True
user_00215,61,AU,basic,904,True
user_00216,67,FR,pro,1036,True
user_00217,35,US,free,826,True
user_00218,47,AU,free,3610,True
user_00219,54,UK,enterprise,2927,True
user_00220,55,CA,basic,2818,True
user_00221,39,DE,free,1475,True
user_00222,53,CA,basic,2793,True
user_00223,68,FR,free,2208,True
user_00224,69,JP,free,1717,True
user_00225,61,BR,free,2565,True
user_00226,56,JP,pro,154,True
user_00227,32,DE,free,1475,True
user_00228,25,FR,free,2357,True
user_00229,38,UK,pro,2182,True
user_00230,19,DE,basic,2599,True
user_00231,63,BR,pro,1941,True
user_00232,32,CA,free,2502,True
user_00233,57,AU,enterprise,1356,True
user_00234,73,BR,free,264,True
user_00235,31,BR,basic,2450,True
user_00236,24,US,free,1570,True
user_00237,69,DE,free,2654,True
user_00238,36,FR,free,2187,True
user_00239,36,JP,enterprise,123,True
user_00240,55,US,free,855,True
user_00241,33,JP,pro,2634,True
user_00242,70,AU,free,2492,False
user_00243,34,AU,free,669,True
user_00244,52,FR,basic,1615,True
user_00245,48,JP,pro,2269,True
user_00246,58,UK,free,356,True
user_00247,71,FR,pro,572,True
user_00248,59,AU,free,2142,True
user_00249,73,JP,basic,2815,False
user_00250,26,AU,free,2689,False
user_00251,49,US,free,2497,True
user_00252,20,FR,free,903,False
user_00253,21,DE,free,849,True
user_00254,68,DE,free,1718,True
user_00255,48,FR,pro,1084,True
user_00256,18,DE,basic,2550,False
user_00257,34,CA,basic,2354,True
user_00258,74,BR,free,1995,True
user_00259,55,AU,pro,2791,True
user_00260,32,BR,free,445,True
user_00261,21,UK,basic,318,True
user_00262,62,AU,free,3032,True
user_00263,40,US,free,1412,True
user_00264,72,BR,free,2336,True
user_00265,47,AU,pro,2876,False
user_00266,74,DE,free,3071,True
user_00267,52,FR,free,574,False
user_00268,40,AU,free,2742,True
user_00269,19,FR,pro,1515,True
user_00270,69,UK,free,828,True
user_00271,31,DE,basic,1975,True
user_00272,34,BR,enterprise,2063,True
user_00273,22,JP,free,560,True
user_00274,33,CA,basic,640,True
user_00275,36,DE,basic,2584,False
user_00276,58,BR,free,220,False
user_00277,40,DE,free,1918,True
user_00278,50,US,free,2111,False
user_00279,60,UK,basic,3335,True
user_00280,25,DE,free,1724,True
user_00281,18,AU,enterprise,1806,True
user_00282,49,BR,free,2768,True
user_00283,26,CA,basic,9,True
user_00284,70,CA,free,834,False
user_00285,40,DE,free,3526,True
user_00286,70,US,enterprise,2857,True
user_00287,28,DE,free,518,True
user_00288,19,BR,enterprise,2762,True
user_00289,19,FR,free,2583,True
user_00290,21,US,free,2123,True
user_00291,67,DE,free,198,True
user_00292,67,US,free,1910,True
user_00293,62,FR,basic,2744,False
user_00294,72,BR,free,2996,True
user_00295,25,DE,basic,2112,True
user_00296,52,AU,pro,691,True
user_00297,66,AU,basic,1005,True
user_00298,52,CA,free,401,True
user_00299,23,UK,pro,2330,True
user_00300,34,CA,free,1924,False
user_00301,38,BR,free,2878,True
user_00302,71,UK,free,1244,True
user_00303,72,US,pro,3584,True
user_00304,25,JP,free,260,False
user_00305,22,JP,enterprise,1431,True
user_00306,30,AU,free,688,False
user_00307,32,BR,basic,138,True
user_00308,26,UK,free,2670,True
user_00309,67,AU,free,1368,False
user_00310,18,AU,basic,1525,True
user_00311,49,AU,free,1474,True
user_00312,23,FR,basic,59,True
user_00313,46,AU,pro,2467,True
user_00314,61,FR,free,1718,False
user_00315,59,UK,free,898,True
user_00316,48,CA,free,2526,True
user_00317,67,CA,pro,995,False
user_00318,43,CA,pro,2408,True
user_00319,67,DE,basic,4,False
user_00320,19,FR,free,1378,True
user_00321,58,BR,free,695,False
user_00322,73,UK,enterprise,2035,False
user_00323,41,US,pro,3276,True
user_00324,73,DE,free,3424,True
user_00325,27,BR,basic,1261,True
user_00326,31,DE,pro,1955,True
user_00327,38,US,free,2676,True
user_00328,34,AU,basic,1955,True
user_00329,36,AU,basic,799,False
user_00330,21,BR,free,2237,True
user_00331,64,JP,free,567,False
user_00332,57,BR,pro,896,True
user_00333,18,DE,basic,1600,False
user_00334,22,CA,free,2787,True
user_00335,71,CA,pro,691,True
user_00336,55,BR,free,1963,False
user_00337,71,US,pro,3375,True
user_00338,63,AU,free,3235,True
user_00339,73,BR,free,3006,True
user_00340,57,DE,free,305,True
user_00341,52,FR,basic,2192,True
user_00342,59,DE,free,1573,True
user_00343,64,CA,free,3413,True
user_00344,53,FR,free,3327,True
user_00345,60,JP,enterprise,2793,True
user_00346,64,BR,free,1294,True
user_00347,18,CA,free,55,True
user_00348,51,BR,pro,1041,False
user_00349,46,CA,free,2067,True
user_00350,58,JP,free,3130,True
user_00351,70,UK,basic,2063,True
user_00352,55,BR,pro,1309,True
user_00353,55,DE,enterprise,1017,True
user_00354,61,UK,free,432,True
user_00355,61,UK,free,3530,False
user_00356,73,JP,free,1610,True
user_00357,18,BR,free,1708,False
user_00358,36,FR,basic,2847,True
user_00359,61,UK,basic,1332,True
user_00360,21,UK,pro,1576,True
user_00361,64,CA,free,1323,True
user_00362,36,CA,free,1038,False
user_00363,42,BR,pro,497,False
user_00364,22,FR,basic,2102,True
user_00365,44,UK,free,1378,True
user_00366,20,BR,free,2134,True
user_00367,51,BR,basic,650,True
user_00368,25,UK,free,809,True
user_00369,29,AU,free,6,True
user_00370,46,FR,basic,916,True
user_00371,56,DE,basic,3448,True
user_00372,66,UK,free,1228,True
user_00373,67,UK,pro,1250,True
user_00374,71,CA,free,680,False
user_00375,26,FR,basic,2955,True
user_00376,22,UK,free,1246,True
user_00377,39,US,free,2749,True
user_00378,44,CA,basic,1491,True
user_00379,43,UK,free,117,True
user_00380,69,CA,free,1986,True
user_00381,35,US,pro,1060,True
user_00382,51,US,pro,2895,True
user_00383,30,JP,pro,1598,True
user_00384,62,CA,basic,901,True
user_00385,28,BR,free,3107,True
user_00386,24,CA,basic,1913,True
user_00387,38,UK,free,327,False
user_00388,45,AU,basic,3510,True
user_00389,73,AU,pro,1051,True
user_00390,53,US,free,3128,True
user_00391,74,CA,free,638,True
user_00392,42,FR,free,1318,True
user_00393,37,DE,free,3622,True
user_00394,39,DE,free,1468,True
user_00395,70,US,pro,2413,True
user_00396,48,UK,free,2794,True
user_00397,50,FR,pro,2977,True
user_00398,65,BR,free,2898,True
user_00399,22,JP,pro,59,True
user_00400,70,DE,basic,2295,True
user_00401,34,CA,free,2667,True
user_00402,63,US,free,2766,False
user_00403,69,JP,pro,1344,True
user_00404,47,JP,free,2360,True
user_00405,56,DE,basic,3534,True
user_00406,67,UK,free,791,False
user_00407,30,FR,free,1602,True
user_00408,41,UK,free,3246,True
user_00409,68,JP,free,1467,False
user_00410,19,BR,pro,3583,True
user_00411,25,UK,enterprise,2213,True
user_00412,19,FR,free,1848,True
user_00413,71,AU,enterprise,1107,True
user_00414,32,FR,basic,353,True
user_00415,39,BR,pro,3119,True
user_00416,35,DE,basic,2329,True
user_00417,70,CA,pro,2234,True
user_00418,32,DE,pro,2527,True
user_00419,37,BR,pro,2569,True
user_00420,39,AU,basic,2110,True
user_00421,68,AU,free,2903,True
user_00422,39,DE,basic,2126,True
user_00423,36,DE,basic,2642,True
user_00424,28,BR,pro,3266,True
user_00425,67,DE,basic,3087,True
user_00426,44,CA,pro,241,True
user_00427,56,BR,free,1018,True
user_00428,51,CA,pro,2846,True
user_00429,58,DE,free,2295,True
user_00430,45,FR,basic,1084,True
user_00431,41,US,free,3292,True
user_00432,35,CA,free,558,True
user_00433,20,CA,pro,234,False
user_00434,35,UK,free,853,True
user_00435,49,CA,pro,2562,True
user_00436,59,US,free,3031,False
user_00437,53,US,free,3148,True
user_00438,62,AU,free,626,True
user_00439,22,UK,free,449,True
user_00440,47,BR,pro,154,True
user_00441,27,AU,free,2364,True
user_00442,39,US,pro,778,True
user_00443,58,FR,free,294,True
user_00444,59,JP,free,3220,True
user_00445,62,US,free,2635,True
user_00446,32,DE,basic,691,True
user_00447,43,BR,pro,562,True
user_00448,47,US,free,2697,True
user_00449,18,AU,pro,2398,False
user_00450,65,CA,free,3108,True
user_00451,55,FR,free,1660,True
user_00452,73,AU,pro,170,True
user_00453,40,BR,enterprise,2308,True
user_00454,53,DE,free,1718,True
user_00455,63,DE,enterprise,1664,True
user_00456,22,FR,basic,1850,True
user_00457,23,DE,free,1696,True
user_00458,53,AU,basic,1542,True
user_00459,52,JP,free,3122,True
user_00460,67,BR,free,518,True
user_00461,25,BR,free,472,True
user_00462,36,JP,pro,1984,True
user_00463,68,CA,basic,977,False
user_00464,46,BR,basic,1985,False
user_00465,27,UK,basic,895,True
user_00466,38,CA,basic,1817,True
user_00467,38,UK,free,555,True
user_00468,66,UK,pro,3388,True
user_00469,50,JP,basic,2340,True
user_00470,42,BR,free,2611,True
user_00471,57,CA,pro,388,True
user_00472,63,UK,pro,878,False
user_00473,38,DE,free,2340,True
user_00474,72,US,free,1951,False
user_00475,44,CA,enterprise,772,True
user_00476,69,JP,free,3341,True
user_00477,52,JP,free,2422,True
user_00478,37,JP,free,3066,False
user_00479,58,JP,free,965,True
user_00480,35,BR,free,1725,True
user_00481,68,BR,pro,886,False
user_00482,25,FR,free,2504,True
user_00483,67,FR,basic,1488,False
user_00484,30,FR,enterprise,1721,True
user_00485,33,UK,pro,465,True
user_00486,53,AU,pro,3448,False
user_00487,59,BR,free,1971,True
user_00488,71,AU,free,733,True
user_00489,65,US,free,1295,True
user_00490,25,AU,basic,1519,True
user_00491,60,CA,basic,1048,True
user_00492,35,BR,pro,2976,True
user_00493,68,UK,pro,3364,True
user_00494,54,CA,pro,2592,False
user_00495,35,BR,free,3461,True
user_00496,36,US,basic,714,True
user_00497,44,FR,basic,1572,True
user_00498,42,AU,pro,2877,True
user_00499,47,DE,free,92,True
user_00500,39,AU,pro,2550,False
user_00501,74,BR,basic,149,False
user_00502,44,AU,pro,2295,True
user_00503,47,CA,enterprise,2453,True
user_00504,50,AU,free,1084,True
user_00505,21,FR,basic,964,True
user_00506,19,BR,basic,2397,False
user_00507,61,FR,free,1234,True
user_00508,65,US,free,524,True
user_00509,49,JP,free,2519,True
user_00510,33,DE,pro,2351,True
user_00511,46,AU,basic,1282,False
user_00512,61,US,free,3558,True
user_00513,49,CA,basic,1689,True
user_00514,65,US,free,2240,True
user_00515,21,CA,free,2531,True
user_00516,20,US,free,3633,True
user_00517,25,CA,basic,3161,False
user_00518,64,UK,free,729,True
user_00519,26,AU,free,1925,True
user_00520,20,CA,free,1931,True
user_00521,74,US,pro,1257,False
user_00522,34,CA,basic,1342,True
user_00523,38,AU,enterprise,3213,True
user_00524,73,UK,free,1546,False
user_00525,50,DE,free,206,True
user_00526,73,AU,enterprise,2787,True
user_00527,67,BR,basic,1377,False
user_00528,48,JP,free,3172,True
user_00529,55,AU,enterprise,2431,True
user_00530,66,US,free,1704,True
user_00531,31,DE,free,2794,True
user_00532,51,BR,pro,2322,True
user_00533,57,UK,free,1588,True
user_00534,42,FR,basic,342,False
user_00535,23,BR,free,1206,True
user_00536,73,BR,free,1578,True
user_00537,41,FR,free,1931,False
user_00538,45,BR,free,2033,True
user_00539,66,DE,free,2038,True
user_00540,30,FR,free,3410,True
user_00541,55,DE,free,1690,False
user_00542,45,DE,pro,3321,True
user_00543,69,DE,free,3543,False
user_00544,57,DE,free,2820,True
user_00545,61,FR,basic,821,True
user_00546,21,CA,pro,722,True
user_00547,40,AU,free,2134,True
user_00548,72,AU,free,836,True
user_00549,43,BR,basic,3370,True
user_00550,34,CA,basic,351,True
user_00551,69,BR,free,1571,True
user_00552,31,BR,enterprise,3570,True
user_00553,62,JP,free,2091,True
user_00554,48,US,free,1329,True
user_00555,23,JP,free,2184,True
user_00556,20,US,basic,3508,True
user_00557,25,JP,free,2953,False
user_00558,49,UK,free,1677,True
user_00559,55,UK,free,2124,True
user_00560,58,UK,pro,558,True
user_00561,19,US,basic,2441,True
user_00562,29,BR,basic,1557,True
user_00563,64,AU,free,3495,True
user_00564,43,BR,free,2355,True
user_00565,18,DE,pro,3025,True
user_00566,71,JP,free,3253,True
user_00567,55,BR,basic,2302,True
user_00568,54,AU,basic,3644,True
user_00569,51,CA,free,937,True
user_00570,68,BR,enterprise,3122,True
user_00571,23,FR,free,2669,True
user_00572,30,AU,basic,1277,False
user_00573,58,JP,free,3530,True
user_00574,39,US,free,2680,True
user_00575,41,CA,free,281,True
user_00576,24,AU,free,462,True
user_00577,66,US,enterprise,2457,True
user_00578,26,DE,free,1758,True
user_00579,28,US,free,868,True
user_00580,27,FR,basic,844,True
user_00581,43,US,free,2634,True
user_00582,26,DE,pro,2068,True
user_00583,56,AU,basic,1671,True
user_00584,48,JP,pro,2155,True
user_00585,58,US,free,2265,True
user_00586,68,UK,basic,2246,True
user_00587,27,US,basic,3553,True
user_00588,21,US,basic,366,True
user_00589,46,AU,basic,2886,True
user_00590,57,CA,free,2523,True
user_00591,34,CA,free,1154,True
user_00592,43,DE,free,2086,False
user_00593,50,AU,basic,1290,True
user_00594,62,JP,pro,2853,True
user_00595,60,UK,free,1487,True
user_00596,45,DE,pro,1988,True
user_00597,19,US,free,1639,True
user_00598,20,BR,pro,2042,True
user_00599,22,FR,pro,233,True
user_00600,66,BR,basic,1412,True
user_00601,32,US,free,272,True
user_00602,21,US,basic,945,False
user_00603,71,FR,basic,2419,True
user_00604,26,DE,basic,353,True
user_00605,74,US,basic,3086,True
user_00606,26,AU,basic,81,True
user_00607,60,UK,basic,698,True
user_00608,33,FR,free,2913,True
user_00609,57,DE,free,3323,True
user_00610,49,FR,free,1493,True
user_00611,48,UK,free,2508,True
user_00612,44,US,free,399,True
user_00613,38,UK,basic,1628,True
user_00614,59,FR,basic,617,True
user_00615,45,BR,free,666,True
user_00616,62,BR,basic,326,True
user_00617,28,BR,basic,1065,True
user_00618,48,FR,basic,3193,True
user_00619,57,JP,basic,2798,True
user_00620,68,CA,free,966,False
user_00621,42,FR,enterprise,2052,True
user_00622,55,DE,basic,2694,True
user_00623,62,US,free,2405,True
user_00624,37,JP,free,1399,False
user_00625,18,DE,pro,1900,True
user_00626,33,UK,enterprise,287,False
user_00627,71,US,free,744,False
user_00628,52,JP,free,3149,True
user_00629,72,AU,free,2241,True
user_00630,28,JP,basic,2532,True
user_00631,20,AU,basic,2903,True
user_00632,72,UK,basic,594,True
user_00633,48,DE,free,2909,True
user_00634,26,JP,basic,1083,False
user_00635,51,BR,pro,758,True
user_00636,21,UK,basic,906,True
user_00637,43,US,free,2328,True
user_00638,64,JP,free,3458,True
user_00639,41,DE,free,2248,True
user_00640,63,US,free,2892,True
user_00641,43,US,pro,220,True
user_00642,28,FR,free,1859,True
user_00643,36,BR,pro,3095,True
user_00644,20,UK,free,179,False
user_00645,74,UK,free,2634,True
user_00646,31,BR,basic,401,True
user_00647,64,UK,basic,237,True
user_00648,54,DE,free,900,True
user_00649,34,DE,basic,224,True
user_00650,29,DE,basic,99,True
user_00651,67,BR,pro,526,True
user_00652,28,BR,free,1694,True
user_00653,47,JP,pro,2812,True
user_00654,61,CA,free,1585,False
user_00655,62,CA,pro,2780,False
user_00656,41,DE,basic,1100,True
user_00657,38,BR,free,2741,True
user_00658,51,DE,pro,710,True
user_00659,31,AU,free,161,True
user_00660,28,FR,basic,103,True
user_00661,44,CA,free,1201,True
user_00662,44,UK,free,1384,True
user_00663,57,UK,free,2294,True
user_00664,70,AU,enterprise,859,False
user_00665,68,US,basic,1739,True
user_00666,31,CA,free,423,True
user_00667,50,FR,free,1124,False
user_00668,20,JP,free,1843,False
user_00669,67,JP,basic,3404,True
user_00670,56,DE,pro,2719,False
user_00671,27,US,free,140,False
user_00672,46,CA,free,1585,False
user_00673,38,DE,pro,1736,True
user_00674,68,BR,pro,2877,True
user_00675,71,AU,free,1762,True
user_00676,26,FR,basic,747,True
user_00677,73,AU,free,3523,True
user_00678,47,AU,free,3478,True
user_00679,68,AU,basic,214,True
user_00680,64,BR,free,3645,True
user_00681,42,BR,free,3602,True
user_00682,38,DE,free,669,True
user_00683,61,AU,free,610,True
user_00684,64,JP,basic,2559,True
user_00685,44,FR,free,627,True
user_00686,72,UK,free,2937,True
user_00687,31,CA,basic,3604,True
user_00688,72,CA,free,1206,True
user_00689,30,BR,pro,1893,True
user_00690,19,FR,pro,732,True
user_00691,39,JP,basic,1162,True
user_00692,20,DE,basic,3634,True
user_00693,23,CA,free,2625,True
user_00694,57,BR,free,2811,True
user_00695,55,DE,basic,2653,True
user_00696,47,CA,free,703,True
user_00697,31,US,free,96,True
user_00698,57,BR,pro,3019,True
user_00699,43,FR,basic,3322,True
user_00700,64,FR,free,1864,True
user_00701,68,FR,free,3162,True
user_00702,73,DE,basic,688,True
user_00703,48,US,pro,305,True
user_00704,71,JP,enterprise,1985,False
user_00705,61,US,enterprise,894,True
user_00706,52,FR,pro,384,True
user_00707,44,FR,basic,2398,True
user_00708,51,BR,free,774,True
user_00709,44,AU,free,2039,True
user_00710,58,UK,free,3560,True
user_00711,58,US,enterprise,2968,False
user_00712,61,DE,enterprise,1289,False
user_00713,57,AU,free,248,True
user_00714,61,US,pro,1340,True
user_00715,64,CA,free,3400,True
user_00716,43,JP,free,2026,True
user_00717,65,DE,free,500,True
user_00718,42,BR,basic,3240,True
user_00719,65,FR,basic,3365,True
user_00720,69,UK,basic,3321,True
user_00721,26,BR,pro,1661,False
user_00722,41,DE,free,2156,True
user_00723,22,FR,basic,2446,True
user_00724,39,DE,free,3342,True
user_00725,39,JP,pro,2414,True
user_00726,61,US,pro,1094,True
user_00727,42,AU,free,395,True
user_00728,63,US,basic,3620,True
user_00729,51,DE,enterprise,2889,True
user_00730,61,JP,free,1704,False
user_00731,28,FR,pro,145,False
user_00732,24,UK,free,304,False
user_00733,44,DE,free,1073,True
user_00734,55,UK,pro,2232,True
user_00735,41,CA,free,2634,True
user_00736,21,DE,free,190,True
user_00737,28,BR,free,2809,True
user_00738,61,FR,pro,3453,True
user_00739,28,CA,basic,3215,True
user_00740,58,UK,free,1988,True
user_00741,63,AU,basic,1981,True
user_00742,62,DE,basic,2199,False
user_00743,56,CA,free,2025,True
user_00744,22,UK,free,2997,True
user_00745,29,CA,basic,1107,True
user_00746,62,JP,pro,2899,False
user_00747,55,CA,basic,2500,True
user_00748,43,CA,free,904,True
user_00749,57,DE,pro,632,True
user_00750,37,AU,basic,1642,True
user_00751,53,AU,enterprise,231,False
user_00752,39,AU,free,2837,True
user_00753,19,AU,free,1073,True
user_00754,23,AU,free,634,True
user_00755,68,UK,free,3543,True
user_00756,40,AU,pro,473,True
user_00757,65,US,enterprise,2801,False
user_00758,51,DE,basic,3548,True
user_00759,43,UK,free,2230,True
user_00760,65,UK,enterprise,2453,True
user_00761,35,BR,basic,74,True
user_00762,32,BR,pro,110,True
user_00763,33,UK,free,2269,True
user_00764,63,AU,basic,1994,False
user_00765,57,CA,free,246,True
user_00766,59,DE,free,1093,True
user_00767,38,AU,pro,1407,False
user_00768,47,CA,free,476,True
user_00769,60,JP,free,3086,True
user_00770,38,CA,basic,3586,True
user_00771,21,UK,basic,153,True
user_00772,38,FR,free,875,True
user_00773,48,BR,pro,340,True
user_00774,33,AU,free,997,True
user_00775,63,FR,free,1005,True
user_00776,24,AU,free,2290,True
user_00777,24,JP,free,2230,True
user_00778,42,UK,basic,3479,True
user_00779,26,AU,free,795,True
user_00780,45,JP,enterprise,3172,True
user_00781,37,JP,basic,1899,False
user_00782,51,AU,enterprise,1863,True
user_00783,38,CA,pro,2447,False
user_00784,28,DE,basic,776,True
user_00785,35,JP,basic,2770,True
user_00786,58,JP,free,2054,True
user_00787,23,JP,basic,2919,False
user_00788,62,US,free,3309,True
user_00789,65,CA,basic,2787,True
user_00790,51,AU,enterprise,540,True
user_00791,72,UK,pro,995,True
user_00792,31,UK,free,2504,True
user_00793,36,DE,free,218,True
user_00794,61,UK,free,2103,True
user_00795,45,AU,pro,1210,False
user_00796,53,JP,basic,2497,True
user_00797,41,DE,free,3591,True
user_00798,30,JP,basic,643,True
user_00799,32,DE,pro,3069,True
user_00800,45,DE,free,21,True
user_00801,49,DE,pro,2772,True
user_00802,71,DE,free,121,True
user_00803,70,US,free,2343,True
user_00804,22,CA,free,339,True
user_00805,61,US,basic,1473,True
user_00806,59,JP,free,3353,False
user_00807,45,US,free,822,True
user_00808,72,JP,free,2863,True
